trial,epoch,loss,mae,val_loss,val_mae,test_loss,test_mae
0,0,972.967346,16.567081,22.092447,4.582010,21.909477,4.569592
0,1,15.502715,3.401642,1.636150,0.974283,1.580390,0.947713
0,2,3.282326,1.437669,1.549377,1.061022,1.460619,1.041285
0,3,2.021798,1.153999,1.014568,0.815944,0.944042,0.772951
0,4,1.431124,0.955898,0.998465,0.822271,0.927024,0.775548
0,5,1.130189,0.861276,0.981041,0.817795,0.910771,0.771035
0,6,1.077083,0.837883,0.970345,0.827083,0.891212,0.776889
0,7,1.012475,0.825928,0.998439,0.849451,0.919602,0.799783
0,8,1.017532,0.835757,0.953532,0.815115,0.882676,0.766781
0,9,0.968892,0.814898,0.952851,0.821960,0.881858,0.774857
0,10,0.952246,0.799115,1.020873,0.859599,0.946372,0.811494
0,11,1.040925,0.848724,1.017429,0.807028,0.948503,0.767703
0,12,0.987642,0.813867,0.975544,0.830452,0.904862,0.782725
0,13,0.973382,0.817136,0.968403,0.802918,0.904258,0.761859
0,14,0.946620,0.795047,0.976481,0.837894,0.907356,0.791965
0,0,2.571839,1.305750,1.711544,1.003787,1.662579,0.973143
0,1,1.368489,0.950307,1.251275,0.853265,1.191141,0.815938
0,2,1.165328,0.895235,1.098164,0.818365,1.031666,0.775424
0,3,1.003462,0.834533,0.994327,0.806470,0.922717,0.755221
0,4,0.960655,0.817613,0.955144,0.804829,0.884182,0.751507
0,5,0.905801,0.783722,0.936264,0.800134,0.863087,0.747643
0,6,0.865187,0.766483,0.915303,0.790284,0.850356,0.741749
0,7,0.838890,0.755788,0.898013,0.775014,0.839001,0.729388
0,8,0.797053,0.726468,0.879919,0.769196,0.824410,0.727448
0,9,0.786080,0.729857,0.864383,0.760779,0.810400,0.722373
0,10,0.751525,0.705212,0.851813,0.758343,0.802568,0.726085
0,11,0.705668,0.686252,0.834164,0.745425,0.789416,0.721281
0,12,0.693387,0.673934,0.826510,0.723516,0.783117,0.701324
0,13,0.653526,0.647366,0.850534,0.768841,0.824198,0.765442
0,14,0.637789,0.640725,0.817720,0.740386,0.790724,0.737970
0,0,3823.739746,29.612577,68.663872,8.228639,68.801430,8.241364
0,1,31.749594,4.755489,1.096531,0.829438,1.033858,0.797211
0,2,39.950375,4.936138,30.933483,5.462924,30.680323,5.446465
0,3,31.829758,4.510678,12.351398,3.372024,12.364741,3.384485
0,4,17.260044,3.335502,1.187872,0.930076,1.104916,0.887902
0,5,8.644651,2.330802,1.224684,0.944725,1.139838,0.906102
0,6,2.910026,1.357299,1.260427,0.858212,1.201398,0.830591
0,7,1.463724,0.964045,0.977342,0.818536,0.902126,0.771027
0,8,1.116595,0.855876,0.998094,0.847524,0.935536,0.816812
0,9,1.284527,0.919805,0.997158,0.846358,0.925212,0.798908
0,10,1.070107,0.851059,0.964803,0.817419,0.894681,0.770617
0,11,1.014752,0.830566,0.967916,0.805385,0.902455,0.763508
0,12,1.000395,0.826566,0.963333,0.790685,0.895423,0.747118
0,13,1.066529,0.846746,0.968767,0.809889,0.898738,0.764964
0,14,1.045317,0.846392,0.964220,0.824230,0.891496,0.776962
0,0,8.565526,2.197625,1.196658,0.845032,1.137019,0.817402
0,1,1.524755,1.041026,1.550367,1.061011,1.447790,1.035053
0,2,1.292514,0.935514,1.123458,0.832313,1.060210,0.799597
0,3,1.255900,0.883087,1.031397,0.841601,0.957642,0.792306
0,4,1.118892,0.879612,1.050139,0.865845,0.971588,0.814891
0,5,1.099500,0.874802,1.023741,0.830342,0.954880,0.785453
0,6,1.063898,0.858370,1.009703,0.835816,0.940012,0.787312
0,7,1.001428,0.833749,0.997385,0.829753,0.929915,0.782673
0,8,1.053534,0.835342,0.980891,0.818039,0.916367,0.774724
0,9,0.957501,0.801621,0.955720,0.799041,0.898690,0.763179
0,10,0.953117,0.790499,0.934134,0.788904,0.879362,0.754595
0,11,0.927528,0.789200,0.917212,0.774239,0.867096,0.744383
0,12,0.870173,0.764262,0.905411,0.761949,0.858966,0.735355
0,13,0.830340,0.750590,0.881958,0.755161,0.838543,0.730707
0,14,0.783178,0.719249,0.864318,0.750760,0.826233,0.731310
0,0,4.408750,1.706353,2.947603,1.425751,2.893963,1.407149
