epoch,loss,mae,val_loss,val_mae,test_loss,test_mae
0,29.543275833129883,4.360857009887695,1.107712984085083,0.8343481421470642,1.0506770610809326,0.807860791683197
1,21.797195434570312,3.7603745460510254,1.0968796014785767,0.8556923866271973,1.0373296737670898,0.8277274370193481
2,16.097143173217773,3.2809829711914062,1.2339677810668945,0.9275262355804443,1.1686593294143677,0.896702229976654
3,12.208547592163086,2.8078835010528564,1.1151970624923706,0.8485584855079651,1.0413458347320557,0.8111129999160767
4,10.490887641906738,2.6004960536956787,1.1548435688018799,0.847766637802124,1.0764087438583374,0.8091292381286621
5,8.885966300964355,2.3696200847625732,1.1345068216323853,0.847756028175354,1.0506911277770996,0.8068586587905884
6,7.839317321777344,2.231914520263672,1.2181358337402344,0.8610644936561584,1.135215163230896,0.8232585191726685
7,7.144986629486084,2.1893653869628906,1.2858866453170776,0.8774179220199585,1.1988885402679443,0.8376197218894958
8,6.137770652770996,1.9808825254440308,1.2435297966003418,0.86750328540802,1.1567893028259277,0.8274353742599487
9,5.580147743225098,1.874955177307129,1.1535029411315918,0.8483166694641113,1.0687744617462158,0.8095528483390808
