trial,epoch,loss,mae,val_loss,val_mae,test_loss,test_mae
7,2,1.550531,1.004824,1.054996,0.870605,0.976717,0.822786
7,3,1.278295,0.918243,1.245277,0.953672,1.163371,0.919275
7,4,1.045341,0.822155,1.268347,0.962874,1.189031,0.931214
7,5,1.006393,0.801691,1.24386,0.953834,1.165439,0.921829
7,6,0.919928,0.779668,1.36877,0.999468,1.293829,0.976093
7,7,0.83067,0.74457,1.330479,0.985834,1.254669,0.960316
7,8,0.770109,0.704595,1.389854,1.005893,1.32001,0.986656
7,9,0.791363,0.718099,1.406953,1.011848,1.337131,0.993514
7,10,0.730432,0.675222,1.35022,0.991137,1.275946,0.969257
8,0,27114.892578,74.858772,4.148025,1.771252,4.163732,1.786559
8,1,9.637997,2.788746,164.7509,12.789074,165.460281,12.818751
8,2,22.92392,4.640886,133.207214,11.48835,133.895081,11.520138
8,3,9.205611,2.680024,7.08877,2.432819,7.204007,2.460439
8,4,1.762446,1.089491,11.632836,3.234243,11.38488,3.205368
8,5,2.738323,1.383849,5.981966,2.220188,5.800354,2.204394
8,6,1.548951,1.000469,1.43121,0.90962,1.423557,0.890191
8,7,1.618729,0.999779,1.893383,1.043112,1.908404,1.035557
8,8,1.536528,0.999627,1.202424,0.910498,1.154757,0.870307
8,9,1.516556,1.007876,1.31935,0.976116,1.255966,0.934004
8,10,1.517909,0.99905,1.189198,0.896606,1.146476,0.858933
8,11,1.560957,1.019913,1.199723,0.878286,1.167331,0.84504
8,12,1.540372,1.005157,1.193886,0.90326,1.148556,0.864246
8,13,1.505256,1.001584,1.207268,0.914809,1.158116,0.874206
8,14,1.642945,1.038318,1.193714,0.903544,1.148236,0.864475
9,0,6848.039062,44.048367,6.82619,2.400967,6.640867,2.372029
9,1,78.30452,7.328019,182.062271,13.448915,182.977234,13.484644
9,2,95.916992,7.871997,336.038605,18.30093,337.372955,18.339029
9,3,106.814606,8.406112,368.361969,19.163996,369.812927,19.203503
9,4,93.996368,7.560838,450.179077,21.191132,451.877777,21.232605
9,5,68.127602,6.596973,613.197449,24.73984,615.296631,24.783308
9,6,52.987118,5.774505,633.018677,25.136774,635.244751,25.181957
9,7,38.805161,4.943005,595.573242,24.380114,597.813782,24.426878
9,8,30.736851,4.389783,478.1875,21.840025,480.257019,21.888195
