epoch,loss,mae,val_loss,val_mae,test_loss,test_mae
0,9.294276237487793,2.4659793376922607,3.702284812927246,1.6974964141845703,3.648128032684326,1.7162537574768066
1,3.9803783893585205,1.5952672958374023,1.012899398803711,0.835413932800293,0.9341704845428467,0.7891941666603088
2,2.3778388500213623,1.25021493434906,1.1246172189712524,0.8296510577201843,1.0422354936599731,0.7869837880134583
3,1.6838351488113403,1.0340129137039185,1.0892695188522339,0.8837960958480835,1.0154422521591187,0.8445916771888733
4,1.3894321918487549,0.9589509963989258,1.0243628025054932,0.8507652878761292,0.9467974901199341,0.8039719462394714
5,1.1930315494537354,0.8838670253753662,1.0040651559829712,0.8349984884262085,0.9266608357429504,0.7862772941589355
6,1.184967041015625,0.8989081382751465,1.0007765293121338,0.8383991718292236,0.9268039464950562,0.7907784581184387
7,1.1385011672973633,0.8682597279548645,0.9898878335952759,0.829914391040802,0.9213680028915405,0.7850543856620789
8,1.0568511486053467,0.8452299237251282,0.9923302531242371,0.8335759043693542,0.9207056760787964,0.7865186929702759
9,1.0255637168884277,0.8301486968994141,0.9896934032440186,0.8310580849647522,0.9119075536727905,0.7818324565887451
10,1.0053471326828003,0.8202996850013733,0.9779890179634094,0.8253424167633057,0.9008286595344543,0.7772431373596191
11,0.9763050675392151,0.8082408308982849,0.9641605615615845,0.8121234774589539,0.8910225629806519,0.7667054533958435
12,0.9479929804801941,0.7842916250228882,0.9494991302490234,0.8084375858306885,0.8792951107025146,0.7653860449790955
13,0.8691585063934326,0.7616865634918213,0.942374050617218,0.7928091287612915,0.8736184239387512,0.7510451674461365
14,0.8632587790489197,0.7699977159500122,0.929555356502533,0.7921028733253479,0.8612152934074402,0.7509687542915344
15,0.816245973110199,0.741920530796051,0.9292963743209839,0.7808796763420105,0.8650954961776733,0.7446423172950745
16,0.8473957777023315,0.7559781670570374,0.9054616093635559,0.7685538530349731,0.8490611910820007,0.73765629529953
17,0.7911774516105652,0.7191036343574524,0.8831019401550293,0.7723191380500793,0.8278182148933411,0.7388867735862732
18,0.7124799489974976,0.6775732040405273,0.8719428181648254,0.7653972506523132,0.823268473148346,0.7357904314994812
19,0.7026403546333313,0.6809596419334412,0.8552417755126953,0.7550421357154846,0.8147761225700378,0.7328760623931885
20,0.700202226638794,0.6728597283363342,0.8552613258361816,0.7582423686981201,0.8146876692771912,0.7348307967185974
21,0.655865490436554,0.6570664048194885,0.8440483808517456,0.7527481913566589,0.8108496069908142,0.7336809635162354
22,0.6365734338760376,0.6455543041229248,0.8369728922843933,0.7479996681213379,0.8032165765762329,0.7306835651397705
23,0.5659499168395996,0.6027170419692993,0.8400883078575134,0.7551156282424927,0.8052258491516113,0.7380431294441223
24,0.5882592797279358,0.6120726466178894,0.8574399352073669,0.7308486104011536,0.8074440360069275,0.7125360369682312
25,0.5919937491416931,0.6120195388793945,0.8370274901390076,0.7602235674858093,0.8088609576225281,0.7443967461585999
26,0.5033078789710999,0.568340003490448,0.7984850406646729,0.7211577892303467,0.7698487043380737,0.712848961353302
27,0.5076003670692444,0.5677138566970825,0.8083108067512512,0.730017364025116,0.7714875936508179,0.7132365703582764
28,0.5264422297477722,0.5668470859527588,0.8306686878204346,0.7528838515281677,0.7851188778877258,0.724216103553772
29,0.48762741684913635,0.5605696439743042,0.8134362101554871,0.718766450881958,0.7704416513442993,0.7057176828384399
30,0.4640486240386963,0.5342827439308167,0.808379590511322,0.7361781001091003,0.7853758931159973,0.7296305298805237
31,0.4785240888595581,0.5584493279457092,0.8342097401618958,0.7191119194030762,0.7797107696533203,0.7024391293525696
32,0.46745604276657104,0.5381433367729187,0.8222751617431641,0.7470315098762512,0.7851877212524414,0.7351266145706177
33,0.4118976294994354,0.5059784650802612,0.7985439896583557,0.7214865684509277,0.7532193064689636,0.7111703753471375
34,0.45206621289253235,0.527109682559967,0.7871994376182556,0.7099516987800598,0.7511267066001892,0.707766592502594
35,0.3877553641796112,0.4899182915687561,0.7908433079719543,0.7120763063430786,0.7568039298057556,0.705719530582428
36,0.3786369562149048,0.4857911765575409,0.7994869351387024,0.7091904282569885,0.7621130347251892,0.7007194757461548
37,0.37378957867622375,0.4891429543495178,0.7830512523651123,0.7041085958480835,0.7429666519165039,0.6966614127159119
38,0.3692210018634796,0.48787540197372437,0.7776517271995544,0.7150705456733704,0.7449117302894592,0.7096532583236694
39,0.4009731411933899,0.5029911398887634,0.8102565407752991,0.7433825731277466,0.7744409441947937,0.7287841439247131
40,0.40339455008506775,0.5099549293518066,0.839690625667572,0.7192092537879944,0.7855269312858582,0.7055021524429321
41,0.3267994225025177,0.4534606337547302,0.7891168594360352,0.7163618803024292,0.7429770827293396,0.7076963186264038
42,0.33167970180511475,0.45515313744544983,0.7840216159820557,0.7092583775520325,0.7193496823310852,0.6898915767669678
43,0.3144170045852661,0.4496881663799286,0.7896113395690918,0.7083319425582886,0.7269889712333679,0.6870405077934265
44,0.314872682094574,0.44221028685569763,0.7776376008987427,0.7110137343406677,0.738129734992981,0.7011004686355591
45,0.3070128560066223,0.43933025002479553,0.8442622423171997,0.7089402675628662,0.7740220427513123,0.6927239298820496
46,0.3140968382358551,0.4426333010196686,0.792439341545105,0.7233847379684448,0.7480251789093018,0.7133371829986572
47,0.3430671989917755,0.4689016342163086,0.8012988567352295,0.707828164100647,0.7388384938240051,0.6897818446159363
48,0.29741209745407104,0.43229570984840393,0.7996848821640015,0.7299268245697021,0.75029456615448,0.7140917181968689
49,0.3131740391254425,0.4470820128917694,0.8008190393447876,0.7060952186584473,0.7405614852905273,0.6914225816726685
50,0.26910123229026794,0.4133772552013397,0.7890158891677856,0.7193903923034668,0.739485502243042,0.7033385634422302
51,0.2518770694732666,0.40123578906059265,0.7898426651954651,0.7036057114601135,0.7234968543052673,0.6838454604148865
52,0.2678665816783905,0.4076981544494629,0.7753274440765381,0.7018291354179382,0.7194634079933167,0.6852746605873108
53,0.24950158596038818,0.3965599238872528,0.7661683559417725,0.7051084041595459,0.7219746708869934,0.6952618360519409
54,0.25914281606674194,0.3998926281929016,0.7897371053695679,0.6975467801094055,0.7287607789039612,0.6819896101951599
55,0.23614312708377838,0.3893195688724518,0.7712333798408508,0.7019785642623901,0.7190414071083069,0.6906875371932983
56,0.24061278998851776,0.3807872533798218,0.7712402939796448,0.7086453437805176,0.7225878834724426,0.6970002055168152
57,0.23778896033763885,0.3819524049758911,0.7647699117660522,0.6918565630912781,0.706092357635498,0.6808207631111145
58,0.21414166688919067,0.3620436489582062,0.7896292805671692,0.6923741102218628,0.7195667028427124,0.6759788393974304
59,0.23478375375270844,0.38214245438575745,0.7797478437423706,0.6960470676422119,0.7163769602775574,0.6813741326332092
60,0.2191237062215805,0.3645697832107544,0.763710081577301,0.691381573677063,0.7079453468322754,0.6799308657646179
61,0.20774270594120026,0.36390018463134766,0.7930148839950562,0.6921677589416504,0.7325421571731567,0.6803451776504517
62,0.2099275141954422,0.3591269850730896,0.7757298350334167,0.7077643871307373,0.7242780923843384,0.6951574683189392
63,0.20467783510684967,0.35080745816230774,0.782071053981781,0.6889802813529968,0.714685320854187,0.6777465343475342
64,0.1708582639694214,0.3298993706703186,0.7671512365341187,0.6887751221656799,0.7004512548446655,0.6771948933601379
65,0.2007879912853241,0.35792794823646545,0.7729505896568298,0.7007215023040771,0.7085749506950378,0.6852380633354187
66,0.1855257898569107,0.34079888463020325,0.7712728381156921,0.6911156177520752,0.7041750550270081,0.6798608303070068
67,0.1780349165201187,0.3322860896587372,0.7582345008850098,0.6860522627830505,0.6920146346092224,0.6731181144714355
68,0.18457739055156708,0.32752278447151184,0.7602187991142273,0.68619304895401,0.6927638053894043,0.6723693013191223
69,0.1487644612789154,0.30914413928985596,0.7602901458740234,0.6896822452545166,0.6932219862937927,0.6741151809692383
70,0.16858921945095062,0.3255339562892914,0.7742996215820312,0.6988781690597534,0.7027811408042908,0.6770214438438416
71,0.17244528234004974,0.32422080636024475,0.7714648246765137,0.7025229930877686,0.7036786675453186,0.6847383975982666
72,0.1852186918258667,0.34350770711898804,0.76707923412323,0.6923542022705078,0.6984383463859558,0.6791066527366638
73,0.164894238114357,0.31878581643104553,0.7666704654693604,0.7049785256385803,0.706690788269043,0.6866463422775269
74,0.17009197175502777,0.3247283101081848,0.769823431968689,0.6878785490989685,0.7027908563613892,0.6738905310630798
75,0.15236951410770416,0.30161401629447937,0.7610825300216675,0.691585898399353,0.6947869658470154,0.6772485375404358
