trial,epoch,loss,mae,val_loss,val_mae,test_loss,test_mae
6,2,20.343287,3.556598,1.009808,0.82652,0.985514,0.808177
6,3,13.871742,3.000454,1.084368,0.811119,1.078904,0.803252
6,4,13.162118,2.922407,1.023025,0.802213,1.020842,0.799304
6,5,10.858882,2.633681,1.015393,0.807005,1.012069,0.804444
6,6,9.504423,2.470677,1.039317,0.810199,1.029326,0.804009
6,7,9.588725,2.456511,1.100007,0.821837,1.078686,0.808951
6,8,8.257318,2.280218,1.168283,0.841904,1.12951,0.816926
6,9,8.167536,2.26131,1.112089,0.82983,1.05574,0.79879
6,10,6.459848,2.057062,1.097681,0.828931,1.028458,0.794804
7,0,5.789522,1.924738,1.408703,0.896326,1.35524,0.881518
7,1,3.420578,1.481735,1.613735,0.964264,1.591642,0.950557
7,2,1.780786,1.074207,1.954403,1.080715,1.928325,1.067698
7,3,1.400771,0.932854,1.95838,1.084073,1.911282,1.064279
7,4,1.158364,0.862098,1.900592,1.067357,1.854462,1.046102
7,5,0.896223,0.757154,1.606485,0.961429,1.554839,0.943171
7,6,0.79874,0.712676,1.498688,0.925702,1.441909,0.907765
7,7,0.748496,0.689993,1.344074,0.877341,1.285787,0.859382
7,8,0.718223,0.685441,1.097417,0.814507,1.036802,0.791626
7,9,0.603732,0.629157,1.020469,0.80561,0.966228,0.776055
7,10,0.567823,0.60457,0.981571,0.811279,0.928397,0.779009
7,11,0.505658,0.558037,0.978224,0.811964,0.926112,0.779351
7,12,0.497508,0.558934,0.97845,0.823707,0.936221,0.793198
7,13,0.464256,0.538892,0.958982,0.813706,0.928783,0.787081
7,14,0.423782,0.515279,1.009967,0.847338,0.98419,0.83026
8,0,7.229385,2.112556,12.945147,3.450688,13.010118,3.470399
8,1,2.040396,1.149487,5.457273,2.10743,5.42706,2.116992
8,2,1.269008,0.90172,14.008619,3.603987,14.013212,3.616231
8,3,1.072718,0.833993,4.96757,1.989583,4.934886,1.99926
8,4,1.01742,0.831761,7.61881,2.569745,7.588539,2.579742
8,5,1.022907,0.82866,6.813958,2.408189,6.76454,2.415809
8,6,0.96234,0.79991,6.265697,2.291551,6.202681,2.297432
8,7,0.871456,0.761825,6.223108,2.282939,6.155911,2.288293
8,8,0.868973,0.760709,5.066071,2.016642,4.998792,2.021993
8,9,0.861607,0.75273,4.011249,1.742129,3.950922,1.744738
8,10,0.774457,0.707425,2.682542,1.340721,2.609766,1.319814
8,11,0.843259,0.756775,2.248475,1.193651,2.169194,1.161597
8,12,0.756356,0.71332,1.050512,0.816537,0.955227,0.776004
8,13,0.742164,0.696254,1.725238,1.007365,1.642349,0.970922
8,14,0.744619,0.700518,1.280521,0.862742,1.195143,0.825189
9,0,5.491809,1.823302,5.737869,2.176782,5.575017,2.160796
9,1,4.613774,1.662101,4.865559,1.978133,4.713693,1.966562
9,2,4.867545,1.756026,4.370382,1.857537,4.225526,1.851027
9,3,4.151418,1.595426,4.451494,1.876284,4.304626,1.870085
9,4,4.439386,1.655174,4.463007,1.878634,4.319544,1.87283
9,5,3.597156,1.526878,4.380859,1.858567,4.245352,1.853771
9,6,3.73553,1.510459,4.146873,1.800461,4.02944,1.799491
9,7,3.416252,1.486663,3.989015,1.760383,3.88984,1.762049
9,8,3.160561,1.406693,3.866777,1.728635,3.782657,1.731785
9,9,2.986906,1.348934,3.654369,1.671959,3.580298,1.675599
9,10,3.065077,1.385361,3.53734,1.638732,3.473392,1.643534
9,11,2.662631,1.297609,3.31318,1.57697,3.25415,1.581851
9,12,2.795967,1.324142,3.115985,1.522522,3.058645,1.526792
9,13,2.598228,1.252872,3.116081,1.520874,3.062186,1.526096
9,14,2.332968,1.196105,3.200959,1.542588,3.146449,1.547677
