model,test_mse,test_mae,auc_roc
ADMET (Shi 2019),1.6784409284591675,1.0972541570663452,0.5
Custom CNN,1.3330615758895874,0.9286209940910339,0.757823784304285
Toxic Colors (Fernandez 2018),18.897090911865234,4.150082111358643,0.5
