epoch,loss,mae,val_loss,val_mae
0,8076.26171875,51.44596481323242,43.266944885253906,6.4452738761901855
1,41.76927947998047,6.311115741729736,43.51533889770508,6.464681625366211
2,41.82441711425781,6.315555095672607,43.39548873901367,6.455399990081787
3,41.76127624511719,6.310545444488525,43.346954345703125,6.4516401290893555
4,41.71474838256836,6.306844711303711,43.29159927368164,6.4473490715026855
5,41.65346908569336,6.301941871643066,43.229915618896484,6.442563533782959
6,41.60361862182617,6.2980852127075195,43.16132736206055,6.437237739562988
7,41.511268615722656,6.290685653686523,43.08699035644531,6.431460857391357
8,41.44060516357422,6.2851881980896,43.005126953125,6.425093650817871
9,41.372093200683594,6.279501438140869,42.91877746582031,6.418370723724365
10,41.285396575927734,6.272407054901123,42.8275032043457,6.411256790161133
11,41.18830871582031,6.265244483947754,42.73064041137695,6.403697490692139
12,41.10897445678711,6.258613109588623,42.62882995605469,6.3957438468933105
13,41.00105285644531,6.250053405761719,42.521629333496094,6.387357234954834
14,40.89558410644531,6.241844654083252,42.407405853271484,6.3784098625183105
15,40.74613952636719,6.229708671569824,42.283546447753906,6.368692398071289
16,40.647132873535156,6.22198486328125,42.15196990966797,6.3583550453186035
17,40.54529571533203,6.213030815124512,42.01655578613281,6.3476972579956055
18,40.3721809387207,6.1991353034973145,41.87632369995117,6.336641311645508
19,40.257293701171875,6.190238952636719,41.72709655761719,6.324856281280518
20,40.120914459228516,6.17918062210083,41.572574615478516,6.312628269195557
21,39.99216842651367,6.167410373687744,41.41415023803711,6.300068378448486
22,39.7667350769043,6.149745464324951,41.24836730957031,6.286896705627441
23,39.56792449951172,6.1341705322265625,41.07413101196289,6.273025035858154
24,39.45884704589844,6.124411106109619,40.8994026184082,6.259082317352295
25,39.30509948730469,6.112356662750244,40.72287368774414,6.244964122772217
26,39.182029724121094,6.101685047149658,40.53954315185547,6.230268478393555
27,38.96695327758789,6.084324836730957,40.35041046142578,6.215071678161621
28,38.71074676513672,6.0648417472839355,40.15653991699219,6.199455738067627
29,38.50920104980469,6.046744346618652,39.95417785644531,6.183112621307373
30,38.36075210571289,6.034643650054932,39.75046157836914,6.166616916656494
31,38.17060852050781,6.020082473754883,39.54386520385742,6.149843215942383
32,37.9484748840332,6.000394821166992,39.328433990478516,6.132302761077881
33,37.69816589355469,5.979518413543701,39.10177230834961,6.113794326782227
34,37.509246826171875,5.9627885818481445,38.86595916748047,6.094478130340576
35,37.368797302246094,5.950197219848633,38.62925338745117,6.075026988983154
36,36.967044830322266,5.917253017425537,38.38713836669922,6.055067539215088
37,36.89300537109375,5.9102888107299805,38.137088775634766,6.034384250640869
38,36.64520263671875,5.886630058288574,37.88529586791992,6.013484477996826
39,36.58709716796875,5.883726596832275,37.63624954223633,5.99274206161499
40,35.98784255981445,5.834689140319824,37.381465911865234,5.971446514129639
41,35.771121978759766,5.817720890045166,37.11495590209961,5.949089527130127
42,35.61311721801758,5.804487705230713,36.84770202636719,5.926584720611572
43,35.387577056884766,5.783493518829346,36.58132553100586,5.904069423675537
44,34.9998779296875,5.747295379638672,36.30192947387695,5.880360126495361
45,34.925514221191406,5.742136001586914,36.022945404052734,5.856590747833252
46,34.57260513305664,5.707201957702637,35.74650573730469,5.83294153213501
47,34.0977783203125,5.6683173179626465,35.46446990966797,5.808715343475342
48,33.965293884277344,5.653500556945801,35.17429733276367,5.783684253692627
49,33.74446487426758,5.633994102478027,34.8739013671875,5.757656574249268
50,33.49425506591797,5.615995407104492,34.57604217529297,5.731731414794922
