epoch,loss,mae,val_loss,val_mae
0,9.592594146728516,2.4509074687957764,1.715683937072754,1.0953993797302246
1,2.3962016105651855,1.2405751943588257,2.8231284618377686,1.2999647855758667
2,2.3834943771362305,1.2455973625183105,3.1223955154418945,1.3801274299621582
3,2.16487717628479,1.197049617767334,2.5878701210021973,1.2429379224777222
4,2.0986135005950928,1.1853539943695068,2.628070116043091,1.2533326148986816
5,2.1090898513793945,1.1959649324417114,2.477487564086914,1.217787504196167
6,2.0683653354644775,1.1785383224487305,2.6581780910491943,1.2623299360275269
7,2.140185594558716,1.2017537355422974,2.644432306289673,1.2596968412399292
8,2.0999457836151123,1.1791967153549194,3.118516683578491,1.3895609378814697
9,2.2064037322998047,1.210533618927002,2.9949827194213867,1.3583670854568481
10,2.0461418628692627,1.169312596321106,2.8038249015808105,1.3104088306427002
11,2.027141809463501,1.1663401126861572,3.5207951068878174,1.5077204704284668
12,2.169656753540039,1.204444169998169,3.130767583847046,1.4040768146514893
13,2.0557401180267334,1.178514003753662,2.2493343353271484,1.1638051271438599
14,1.8334046602249146,1.1049680709838867,3.102503538131714,1.4017688035964966
15,2.0012052059173584,1.1624959707260132,2.384098529815674,1.2019022703170776
16,1.7870124578475952,1.098762035369873,3.104887008666992,1.4032936096191406
17,2.0742926597595215,1.183166265487671,2.450896739959717,1.2178282737731934
18,1.7321442365646362,1.0815259218215942,1.6858552694320679,1.0311144590377808
19,1.5850234031677246,1.0320558547973633,2.5495598316192627,1.2451043128967285
20,1.7873612642288208,1.0990736484527588,2.15039324760437,1.1373549699783325
21,1.6923620700836182,1.0706489086151123,1.7152392864227295,1.033207893371582
22,1.5496529340744019,1.0179771184921265,2.2437005043029785,1.1633471250534058
23,1.6674684286117554,1.0588315725326538,2.052842378616333,1.1128575801849365
24,1.6005942821502686,1.0422593355178833,1.7777338027954102,1.0449943542480469
25,1.514064908027649,1.0027847290039062,1.9780365228652954,1.0945926904678345
26,1.5413609743118286,1.0100839138031006,2.182969093322754,1.1496208906173706
27,1.592408537864685,1.0316582918167114,2.0686259269714355,1.1180421113967896
28,1.5020984411239624,1.0010156631469727,1.7851015329360962,1.042513132095337
29,1.4302335977554321,0.9755768179893494,1.7787630558013916,1.0390502214431763
30,1.3655500411987305,0.9480090141296387,1.8540035486221313,1.0568561553955078
31,1.3366632461547852,0.9378657937049866,1.5700749158859253,0.9747160077095032
32,1.1779857873916626,0.8783389329910278,1.7198575735092163,1.0110883712768555
33,1.1523274183273315,0.8558153510093689,1.3687641620635986,0.9319904446601868
34,1.06211519241333,0.8254348635673523,1.3462903499603271,0.933952271938324
35,1.0494706630706787,0.8205240368843079,1.7159770727157593,1.009244441986084
36,1.040747880935669,0.8264372944831848,1.392531394958496,0.9551470279693604
37,0.9193423986434937,0.7563456296920776,1.5854167938232422,0.9730110168457031
38,0.9284115433692932,0.7746175527572632,1.3310315608978271,0.9050073623657227
39,0.8290245532989502,0.7348823547363281,1.2973964214324951,0.9100447297096252
40,0.7266198992729187,0.6782807111740112,1.7359685897827148,1.0874335765838623
41,0.9802993535995483,0.7930266857147217,1.8223717212677002,1.046825885772705
42,0.7551410794258118,0.6995838284492493,2.431985378265381,1.2374995946884155
43,0.9248279929161072,0.7852837443351746,1.3400958776474,0.8983209133148193
44,0.7393721342086792,0.6626869440078735,1.2891894578933716,0.8887073397636414
45,1.0728414058685303,0.8486241102218628,3.5645110607147217,1.6519228219985962
46,1.7518980503082275,1.1011039018630981,1.935301661491394,1.1693395376205444
47,1.7090134620666504,1.0764390230178833,1.3204718828201294,0.9054376482963562
48,0.7033409476280212,0.6678443551063538,2.750060558319092,1.4213829040527344
49,1.4872539043426514,1.0115172863006592,1.3254177570343018,0.9279471635818481
