trial,epoch,loss,mae,val_loss,val_mae,status,filters,kernel_size,use_bn,conv_dropout,dropout,tc_dense_units,lr,score,best_step
0,0,477.29007,13.91004,34.720215,5.805281,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,1,37.436142,5.304856,7.221729,2.491734,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,2,21.94591,3.733435,1.659286,1.098758,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,3,22.392084,3.76551,3.097436,1.535524,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,4,20.920828,3.659748,1.048908,0.867037,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,5,17.085911,3.331634,1.245945,0.853613,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,6,15.998899,3.146579,1.076152,0.828116,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,7,14.885493,3.00725,1.044252,0.864112,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,8,17.007551,3.304357,1.062076,0.827989,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,9,15.267341,3.145578,1.108408,0.830193,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,10,13.738137,2.937427,1.026843,0.83496,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,11,11.548145,2.751594,1.026642,0.850205,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,12,11.89166,2.762007,1.040187,0.829495,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,13,10.974949,2.627941,1.067167,0.827482,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,14,11.238934,2.696968,1.023798,0.846715,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,0,15.948914,3.198314,5.262426,2.080137,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
0,1,6.138487,2.011134,1.359064,0.888491,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
