trial,epoch,loss,mae,val_loss,val_mae
0,0,477.290070,13.910040,34.720215,5.805281
0,1,37.436142,5.304856,7.221729,2.491734
0,2,21.945910,3.733435,1.659286,1.098758
0,3,22.392084,3.765510,3.097436,1.535524
0,4,20.920828,3.659748,1.048908,0.867037
0,5,17.085911,3.331634,1.245945,0.853613
0,6,15.998899,3.146579,1.076152,0.828116
0,7,14.885493,3.007250,1.044252,0.864112
0,8,17.007551,3.304357,1.062076,0.827989
0,9,15.267341,3.145578,1.108408,0.830193
0,10,13.738137,2.937427,1.026843,0.834960
0,11,11.548145,2.751594,1.026642,0.850205
0,12,11.891660,2.762007,1.040187,0.829495
0,13,10.974949,2.627941,1.067167,0.827482
0,14,11.238934,2.696968,1.023798,0.846715
0,0,15.948914,3.198314,5.262426,2.080137
0,1,6.138487,2.011134,1.359064,0.888491
0,2,2.659752,1.317891,1.058367,0.820945
0,3,1.829278,1.101663,1.109372,0.896040
0,4,1.511535,0.976258,1.013601,0.821367
0,5,1.387215,0.968557,1.003447,0.834393
0,6,1.216335,0.886813,1.007357,0.842578
0,7,1.123035,0.874952,1.002775,0.827451
0,8,1.105804,0.860450,1.001855,0.837314
0,9,1.096382,0.848718,0.997271,0.825266
0,10,1.047154,0.843032,0.991686,0.833682
0,11,1.050494,0.844786,0.980873,0.819843
0,12,1.007074,0.825908,0.965898,0.817680
0,13,0.971309,0.801868,0.950795,0.811086
0,14,0.970150,0.806335,0.935304,0.796734
0,0,19136.035156,78.375778,1412.948608,37.573353
0,1,769.119873,22.987574,2111.572266,45.935535
0,2,552.928772,18.788944,3875.292480,62.242867
0,3,528.307434,18.112532,1851.142822,43.010277
0,4,422.868591,16.150532,555.078857,23.530773
0,5,462.491180,16.875664,2368.655273,48.656013
0,6,431.394897,16.345249,984.654663,31.358677
0,7,393.393738,16.090763,949.560974,30.794590
0,8,331.665344,14.516503,958.908447,30.946301
0,9,339.970367,14.391886,1159.816528,34.037708
0,10,335.008209,14.510621,876.948425,29.591518
0,11,314.285797,13.943918,1275.537354,35.696526
0,12,283.540192,12.996870,864.028198,29.371401
0,0,602.140991,12.415587,6.036838,2.232491
0,1,4.473644,1.735873,3.154878,1.468181
0,2,1.267082,0.872358,4.413345,1.826595
0,3,1.401217,0.901884,4.067621,1.732846
0,4,1.265166,0.867338,2.714935,1.328421
0,5,1.087778,0.841080,1.792390,1.016647
0,6,1.057659,0.855014,1.456530,0.911015
0,7,1.045323,0.853285,1.404481,0.896255
0,8,1.076198,0.864462,1.469828,0.914919
0,9,1.055669,0.853365,1.543002,0.937671
0,10,1.043364,0.844254,1.567043,0.945076
0,11,1.059993,0.847886,1.556187,0.941673
0,12,1.008733,0.830693,1.532652,0.934321
0,13,1.062884,0.852436,1.517828,0.929641
0,14,1.035255,0.844582,1.511778,0.927690
0,0,560.844543,17.555822,19.367378,4.283643
0,1,26.828125,4.165757,4.884916,1.992057
0,2,24.707981,3.885869,1.207502,0.937866
0,3,27.605389,4.189810,1.317059,0.871517
0,4,26.504890,4.125891,1.136290,0.831468
0,5,24.907980,3.993754,1.025519,0.833357
0,6,21.984951,3.766431,1.045918,0.827159
0,7,22.518860,3.763624,1.047273,0.865712
0,8,20.810040,3.629179,1.072859,0.879511
0,9,18.816614,3.431305,1.033517,0.828830
0,10,19.130957,3.509769,1.093303,0.826380
0,11,16.882812,3.283156,1.098881,0.826609
0,12,13.145988,2.940577,1.053938,0.870037
0,13,15.690556,3.127880,1.055012,0.825331
