trial,epoch,loss,mae,val_loss,val_mae
0,0,477.29007,13.91004,34.720215,5.805281
0,1,37.436142,5.304856,7.221729,2.491734
0,2,21.94591,3.733435,1.659286,1.098758
0,3,22.392084,3.76551,3.097436,1.535524
0,4,20.920828,3.659748,1.048908,0.867037
0,5,17.085911,3.331634,1.245945,0.853613
0,6,15.998899,3.146579,1.076152,0.828116
0,7,14.885493,3.00725,1.044252,0.864112
0,8,17.007551,3.304357,1.062076,0.827989
0,9,15.267341,3.145578,1.108408,0.830193
0,10,13.738137,2.937427,1.026843,0.83496
0,11,11.548145,2.751594,1.026642,0.850205
0,12,11.89166,2.762007,1.040187,0.829495
0,13,10.974949,2.627941,1.067167,0.827482
0,14,11.238934,2.696968,1.023798,0.846715
1,0,15.948914,3.198314,5.262426,2.080137
1,1,6.138487,2.011134,1.359064,0.888491
1,2,2.659752,1.317891,1.058367,0.820945
1,3,1.829278,1.101663,1.109372,0.89604
1,4,1.511535,0.976258,1.013601,0.821367
1,5,1.387215,0.968557,1.003447,0.834393
1,6,1.216335,0.886813,1.007357,0.842578
1,7,1.123035,0.874952,1.002775,0.827451
1,8,1.105804,0.86045,1.001855,0.837314
1,9,1.096382,0.848718,0.997271,0.825266
1,10,1.047154,0.843032,0.991686,0.833682
1,11,1.050494,0.844786,0.980873,0.819843
1,12,1.007074,0.825908,0.965898,0.81768
1,13,0.971309,0.801868,0.950795,0.811086
1,14,0.97015,0.806335,0.935304,0.796734
2,0,19136.035156,78.375778,1412.948608,37.573353
2,1,769.119873,22.987574,2111.572266,45.935535
2,2,552.928772,18.788944,3875.29248,62.242867
2,3,528.307434,18.112532,1851.142822,43.010277
2,4,422.868591,16.150532,555.078857,23.530773
2,5,462.49118,16.875664,2368.655273,48.656013
2,6,431.394897,16.345249,984.654663,31.358677
2,7,393.393738,16.090763,949.560974,30.79459
2,8,331.665344,14.516503,958.908447,30.946301
2,9,339.970367,14.391886,1159.816528,34.037708
2,10,335.008209,14.510621,876.948425,29.591518
2,11,314.285797,13.943918,1275.537354,35.696526
2,12,283.540192,12.99687,864.028198,29.371401
3,0,602.140991,12.415587,6.036838,2.232491
3,1,4.473644,1.735873,3.154878,1.468181
3,2,1.267082,0.872358,4.413345,1.826595
3,3,1.401217,0.901884,4.067621,1.732846
3,4,1.265166,0.867338,2.714935,1.328421
3,5,1.087778,0.84108,1.79239,1.016647
3,6,1.057659,0.855014,1.45653,0.911015
3,7,1.045323,0.853285,1.404481,0.896255
3,8,1.076198,0.864462,1.469828,0.914919
3,9,1.055669,0.853365,1.543002,0.937671
3,10,1.043364,0.844254,1.567043,0.945076
3,11,1.059993,0.847886,1.556187,0.941673
3,12,1.008733,0.830693,1.532652,0.934321
3,13,1.062884,0.852436,1.517828,0.929641
3,14,1.035255,0.844582,1.511778,0.92769
4,0,560.844543,17.555822,19.367378,4.283643
4,1,26.828125,4.165757,4.884916,1.992057
4,2,24.707981,3.885869,1.207502,0.937866
4,3,27.605389,4.18981,1.317059,0.871517
4,4,26.50489,4.125891,1.13629,0.831468
4,5,24.90798,3.993754,1.025519,0.833357
4,6,21.984951,3.766431,1.045918,0.827159
4,7,22.51886,3.763624,1.047273,0.865712
4,8,20.81004,3.629179,1.072859,0.879511
4,9,18.816614,3.431305,1.033517,0.82883
4,10,19.130957,3.509769,1.093303,0.82638
4,11,16.882812,3.283156,1.098881,0.826609
4,12,13.145988,2.940577,1.053938,0.870037
4,13,15.690556,3.12788,1.055012,0.825331
5,0,428.468933,11.6626,3.167041,1.554656
5,1,7.635491,2.204022,1.448134,0.910758
5,2,7.393598,2.19713,1.212584,0.847401
5,3,6.398776,2.059584,1.123554,0.901953
5,4,4.33418,1.67106,1.101172,0.832706
5,5,1.809833,1.069052,1.240153,0.9503
5,6,3.166025,1.434179,1.148116,0.913213
5,7,2.579977,1.294816,1.431541,0.904472
5,8,2.096172,1.176412,1.126951,0.831365
5,9,1.904455,1.113244,1.257544,0.854533
5,10,2.00986,1.145935,1.49425,0.923512
5,11,1.616672,1.018738,1.052508,0.829818
5,12,1.427349,0.965498,1.307513,0.866617
5,13,1.294511,0.917162,1.076157,0.82108
5,14,1.193724,0.884253,1.106481,0.820793
6,0,4.921016,1.694883,1.29948,0.865851
6,1,1.384248,0.932918,1.464288,1.031837
6,2,1.221232,0.889366,1.015436,0.844787
6,3,1.233489,0.871179,1.182446,0.929016
6,4,0.918643,0.779638,1.165616,0.922554
6,5,0.901881,0.761933,1.268535,0.962366
6,6,0.757303,0.701215,1.364066,0.997971
6,7,0.699956,0.671701,1.269159,0.962689
6,8,0.645325,0.636228,1.546269,1.062174
6,9,0.501915,0.557193,1.361221,0.997134
6,10,0.492478,0.554428,1.372692,1.001297
7,0,7.821833,2.179281,1.347608,0.989267
7,1,2.127258,1.168071,1.26052,0.958029
7,2,1.250529,0.913472,1.366657,0.997064
7,3,1.079095,0.849234,1.93547,1.192062
7,4,1.080431,0.834837,1.499505,1.044997
7,5,0.996722,0.797539,1.616832,1.08603
7,6,0.913962,0.765628,1.533874,1.057344
7,7,0.882006,0.763957,1.390116,1.006647
7,8,0.764636,0.707078,1.519298,1.052703
7,9,0.735058,0.68795,1.42671,1.020849
8,0,27800.089844,85.837166,2681.415771,51.705311
8,1,105.68631,9.977479,15707.25,125.274391
8,2,185.742691,13.547461,7074.442383,84.023438
8,3,190.058044,13.706523,1785.961182,42.16206
8,4,118.038544,10.7164,701.601868,26.464052
8,5,45.795441,6.495431,209.49614,14.434094
8,6,8.864063,2.499216,26.63349,5.054132
8,7,3.047073,1.415189,1.586436,0.951103
8,8,3.954241,1.658482,1.832735,1.033049
8,9,2.785227,1.373939,6.997643,2.436521
8,10,2.570346,1.288611,13.702524,3.552989
8,11,2.299196,1.190949,16.064533,3.870937
8,12,2.349095,1.246182,14.250329,3.629273
8,13,2.354286,1.231669,12.215043,3.337406
8,14,2.317541,1.216881,11.144409,3.173151
9,0,40883.824219,107.926849,899.606018,29.900782
9,1,290.592499,16.713778,19409.554688,139.03743
9,2,127.549484,11.15191,21416.650391,145.978943
9,3,46.976986,6.54701,10068.47168,99.789558
9,4,6.809474,2.14864,3112.106934,54.829353
9,5,6.397576,1.998379,2290.198242,46.7733
9,6,5.577445,1.897911,3943.146729,61.964565
9,7,4.186007,1.627773,5784.98291,75.378761
9,8,4.107507,1.662483,5850.884277,75.81778
