epoch,loss,mae,val_loss,val_mae
0,4.107995510101318,1.6168512105941772,2.712690591812134,1.4290446043014526
1,1.9067248106002808,1.1160337924957275,1.172494649887085,0.8318662047386169
2,1.3457080125808716,0.9604913592338562,1.0625874996185303,0.808418869972229
3,1.1283828020095825,0.8549920916557312,1.0331089496612549,0.8624470233917236
4,1.036143183708191,0.8314353823661804,0.9655126333236694,0.8162118196487427
5,0.9959273934364319,0.8274457454681396,0.9652003049850464,0.7996444702148438
6,0.9489074349403381,0.8070303797721863,0.9512259364128113,0.7971041798591614
7,0.9076418876647949,0.7859971523284912,0.9374486207962036,0.7943297624588013
8,0.8812425136566162,0.7743027210235596,0.9226883053779602,0.7826696634292603
9,0.8468697667121887,0.7535542845726013,0.9027054309844971,0.7760283946990967
10,0.846218466758728,0.7596442103385925,0.8889431357383728,0.7815386056900024
11,0.8053972721099854,0.7314600944519043,0.8797966837882996,0.7741086483001709
12,0.7737038731575012,0.7140302062034607,0.8621931076049805,0.7611933946609497
13,0.7415749430656433,0.6934917569160461,0.8566024899482727,0.7612910866737366
14,0.7162274718284607,0.679952085018158,0.8726994395256042,0.7787270545959473
15,0.6978659629821777,0.6741858124732971,0.8444540500640869,0.750801146030426
16,0.6802780628204346,0.6635757684707642,0.8338718414306641,0.7451300621032715
17,0.6516759395599365,0.6448490023612976,0.8368087410926819,0.7408969402313232
18,0.6531626582145691,0.647783637046814,0.8321322798728943,0.7368306517601013
19,0.6209268569946289,0.6312046051025391,0.8236039280891418,0.7309777140617371
20,0.6278538107872009,0.6306369304656982,0.8505706787109375,0.7189664244651794
21,0.6088299751281738,0.6213695406913757,0.8625876903533936,0.7720413208007812
22,0.564430832862854,0.5984918475151062,0.8493371605873108,0.7559136748313904
23,0.5912017822265625,0.6145089268684387,0.8496402502059937,0.7639853954315186
24,0.555221676826477,0.595957338809967,0.8283437490463257,0.7428486347198486
25,0.5198906064033508,0.5737766027450562,0.813822329044342,0.7274874448776245
26,0.4871435761451721,0.559453010559082,0.8266366720199585,0.7149269580841064
27,0.4875378906726837,0.54947829246521,0.810311496257782,0.7201861143112183
28,0.48154473304748535,0.5496317744255066,0.8073456287384033,0.7177198529243469
29,0.46597713232040405,0.5422466993331909,0.8384482264518738,0.7156713008880615
30,0.4935116171836853,0.5607753992080688,0.9041267037391663,0.7264351844787598
31,0.4809860289096832,0.551400899887085,0.817823588848114,0.7122355103492737
32,0.4763268232345581,0.5444439053535461,0.8228623867034912,0.7359800338745117
33,0.46878582239151,0.5394750237464905,0.8897412419319153,0.7782933115959167
34,0.4424767792224884,0.5281062126159668,0.8151613473892212,0.7233668565750122
35,0.3909839689731598,0.4900303781032562,0.8116699457168579,0.716515839099884
36,0.40190616250038147,0.4944550693035126,0.8150705099105835,0.7133656144142151
