trial,epoch,loss,mae,val_loss,val_mae
0,0,34.034588,4.585964,9.745198,2.939812
0,1,5.950403,1.943714,1.960738,1.089135
0,2,2.795046,1.336102,5.121233,2.044913
0,3,2.075649,1.173181,1.023670,0.836782
0,4,1.444189,0.945493,1.218100,0.848348
0,5,1.372360,0.950565,1.209301,0.941110
0,6,1.277259,0.925489,1.025446,0.832225
0,7,1.257533,0.902017,1.092725,0.824274
0,8,1.140925,0.878992,1.012786,0.841635
0,9,1.145877,0.878386,1.145447,0.830080
0,10,1.080007,0.852731,0.995772,0.817841
0,11,1.007470,0.807246,0.983779,0.816462
0,12,1.021040,0.828191,0.984927,0.831427
0,13,0.937871,0.786654,0.967801,0.807463
0,14,0.926118,0.786469,0.976896,0.829597
0,0,7.844305,2.217586,1.664261,1.094328
0,1,5.096319,1.782438,1.172939,0.922297
0,2,4.638384,1.725215,1.463451,1.027242
0,3,3.813901,1.550641,1.130620,0.907281
0,4,3.629343,1.495671,1.162207,0.921488
0,5,3.110167,1.405206,1.056024,0.873169
0,6,2.926069,1.377942,1.086255,0.887561
0,7,2.365510,1.223955,1.018981,0.843471
0,8,2.218412,1.204053,1.044704,0.860720
0,9,2.183560,1.191435,1.025787,0.839855
0,10,2.058384,1.151700,1.054087,0.860216
0,11,1.771204,1.069074,1.041348,0.840367
0,12,1.775488,1.057534,1.055045,0.847343
0,13,1.557127,1.004693,1.054591,0.835196
0,14,1.599696,1.009371,1.067757,0.850326
0,0,120.251175,7.006741,3.422901,1.625221
0,1,6.666847,2.074818,18.920271,4.232497
0,2,7.111983,2.127335,1.509329,0.929945
0,3,6.577834,2.062960,1.678735,1.105808
0,4,6.075134,1.996530,1.309636,0.868729
0,5,4.999084,1.793885,5.924261,2.218638
0,6,4.237502,1.601729,4.580130,1.894096
0,7,3.229411,1.437039,3.283488,1.526697
0,8,3.286699,1.456991,5.862440,2.205304
0,9,3.004086,1.376485,15.661058,3.828159
0,10,2.400998,1.240170,11.231268,3.198188
0,11,2.272213,1.216731,43.317696,6.506058
0,12,2.345290,1.217390,63.282715,7.892991
0,0,11.546290,2.720562,1.590009,0.946770
0,1,5.875943,1.913170,3.140539,1.476550
0,2,4.143116,1.593925,2.669523,1.322651
0,3,3.957599,1.565022,3.985400,1.724090
0,4,3.081159,1.402135,3.760352,1.659957
0,5,3.065441,1.398087,3.421161,1.561956
0,6,2.613544,1.266253,3.266894,1.516006
0,7,2.501376,1.270191,2.655115,1.323720
0,8,2.236825,1.188519,1.869126,1.051997
0,0,12.277673,2.851542,3.674774,1.637218
0,1,8.509426,2.316154,2.134453,1.146978
0,2,8.359367,2.334029,2.698225,1.338197
