trial,epoch,loss,mae,val_loss,val_mae,status,base_filters,extra_block,dropout,cnn_dense_units,lr,score,best_step
0,0,582.992004,12.552341,9.645196,2.928651,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,1,7.540722,2.356073,1.186589,0.837053,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,2,1.530481,0.969945,1.151683,0.91663,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,3,1.185423,0.92263,1.013867,0.847606,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,4,1.031521,0.838016,1.004469,0.832218,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,5,1.010971,0.831179,1.001636,0.828419,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,6,1.009813,0.829571,0.993245,0.831601,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,7,0.948964,0.799849,0.975211,0.830336,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,8,0.963405,0.813006,0.958515,0.823382,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,9,0.913545,0.777602,0.96914,0.834029,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,10,0.926225,0.793624,0.95913,0.830392,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,11,0.88598,0.763302,0.967472,0.835319,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,12,0.871766,0.763689,0.880321,0.784431,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,13,0.89289,0.775474,0.874426,0.76885,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,14,0.913625,0.790015,0.931463,0.81737,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,0,4.483263,1.718272,1.312552,0.982823,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,1,1.745798,1.08507,1.182128,0.845534,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,2,1.240716,0.914105,1.209573,0.84948,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,3,1.178618,0.89142,1.010342,0.821555,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,4,1.047578,0.841674,1.006637,0.848115,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,5,0.958449,0.806231,0.973088,0.817,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,6,0.993214,0.828548,0.959553,0.801875,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
0,7,0.930541,0.79406,0.946144,0.806346,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
