trial,epoch,loss,mae,val_loss,val_mae
0,0,582.992004,12.552341,9.645196,2.928651
0,1,7.540722,2.356073,1.186589,0.837053
0,2,1.530481,0.969945,1.151683,0.91663
0,3,1.185423,0.92263,1.013867,0.847606
0,4,1.031521,0.838016,1.004469,0.832218
0,5,1.010971,0.831179,1.001636,0.828419
0,6,1.009813,0.829571,0.993245,0.831601
0,7,0.948964,0.799849,0.975211,0.830336
0,8,0.963405,0.813006,0.958515,0.823382
0,9,0.913545,0.777602,0.96914,0.834029
0,10,0.926225,0.793624,0.95913,0.830392
0,11,0.88598,0.763302,0.967472,0.835319
0,12,0.871766,0.763689,0.880321,0.784431
0,13,0.89289,0.775474,0.874426,0.76885
0,14,0.913625,0.790015,0.931463,0.81737
1,0,4.483263,1.718272,1.312552,0.982823
1,1,1.745798,1.08507,1.182128,0.845534
1,2,1.240716,0.914105,1.209573,0.84948
1,3,1.178618,0.89142,1.010342,0.821555
1,4,1.047578,0.841674,1.006637,0.848115
1,5,0.958449,0.806231,0.973088,0.817
1,6,0.993214,0.828548,0.959553,0.801875
1,7,0.930541,0.79406,0.946144,0.806346
1,8,0.916003,0.77939,0.92519,0.803592
1,9,0.900302,0.779618,0.907745,0.790216
1,10,0.869422,0.76181,0.889004,0.773044
1,11,0.80784,0.729964,0.867776,0.767581
1,12,0.757549,0.704928,0.848149,0.757887
1,13,0.749361,0.704223,0.843806,0.762213
1,14,0.716911,0.685457,0.824094,0.739783
2,0,3392.251465,30.184555,120.029869,10.899669
2,1,49.772774,5.445176,1.048592,0.82123
2,2,7.551579,2.150336,2.631274,1.405438
2,3,7.849784,2.253809,1.279867,0.861974
2,4,6.287704,2.027446,1.734674,1.00877
2,5,5.051087,1.801346,1.011716,0.831887
2,6,3.823342,1.571569,1.032656,0.825502
2,7,3.396958,1.485937,1.08092,0.825255
2,8,2.609957,1.280324,1.030314,0.829071
2,9,2.055907,1.149074,1.071999,0.826204
2,10,1.726032,1.056737,1.027375,0.834549
2,11,1.444548,0.996431,1.051421,0.830983
