epoch,loss,mae,val_loss,val_mae
0,19.513078689575195,3.5738284587860107,5.945221900939941,2.2187323570251465
1,7.6370930671691895,2.279877185821533,1.3817138671875,0.9986310005187988
2,3.2134597301483154,1.4217333793640137,1.247087001800537,0.9476874470710754
3,2.570333957672119,1.2843518257141113,1.203365683555603,0.845035970211029
4,1.8455880880355835,1.1231662034988403,1.0541608333587646,0.8611852526664734
5,1.471269130706787,0.951408863067627,1.036361575126648,0.8501105904579163
6,1.3246549367904663,0.9250140190124512,1.0221644639968872,0.8306143283843994
7,1.166523814201355,0.8881312608718872,1.0183970928192139,0.837166428565979
8,1.1388466358184814,0.8622967004776001,1.0145385265350342,0.836422324180603
9,1.105726957321167,0.8541061282157898,1.008813738822937,0.8317404389381409
10,1.0871189832687378,0.8549185395240784,1.0058914422988892,0.8264254927635193
11,1.064915418624878,0.8470831513404846,1.003700613975525,0.8287245631217957
12,1.054065227508545,0.8385741114616394,1.0017224550247192,0.8353853821754456
13,1.0074559450149536,0.8080453276634216,0.9962461590766907,0.8193536996841431
14,1.0004435777664185,0.8298699259757996,0.9867651462554932,0.8180693984031677
15,0.9621019959449768,0.8086597323417664,0.9769582748413086,0.8234661221504211
16,0.9514890313148499,0.8095716238021851,0.9705398082733154,0.8120883107185364
17,0.9087321758270264,0.7863733172416687,0.9597889184951782,0.8125485777854919
18,0.9203762412071228,0.7912158370018005,0.957889974117279,0.8084781169891357
19,0.9172245264053345,0.7823967933654785,0.9548957347869873,0.8109764456748962
20,0.900891900062561,0.7741425633430481,0.9480264782905579,0.8006041646003723
21,0.8432091474533081,0.7620739340782166,0.9413335919380188,0.8027908205986023
22,0.86226886510849,0.761776328086853,0.9392340779304504,0.8031210899353027
23,0.8434564471244812,0.7470802664756775,0.9366532564163208,0.7968748211860657
24,0.8151018619537354,0.7379759550094604,0.9342638254165649,0.7856481075286865
25,0.8622655272483826,0.7470200061798096,0.9258413910865784,0.7809382677078247
26,0.828404426574707,0.7319160103797913,0.9070712924003601,0.7796506881713867
27,0.804761528968811,0.733676016330719,0.9047841429710388,0.7822771668434143
28,0.819401741027832,0.7333981990814209,0.8959799408912659,0.7763914465904236
29,0.768900990486145,0.7134758830070496,0.8992999792098999,0.7770863175392151
30,0.7760416269302368,0.7141351699829102,0.8882418870925903,0.7747663259506226
31,0.7437435388565063,0.705032229423523,0.8843366503715515,0.7729218602180481
32,0.7041763663291931,0.6828999519348145,0.8781540393829346,0.7621670961380005
33,0.7122535109519958,0.6750980615615845,0.861640453338623,0.7667903900146484
34,0.6918413043022156,0.6739786863327026,0.8674878478050232,0.762241780757904
35,0.6681329011917114,0.659658670425415,0.8618614077568054,0.7554015517234802
36,0.643676221370697,0.6494962573051453,0.8453660607337952,0.7552118301391602
37,0.5992892980575562,0.6241548657417297,0.8430518507957458,0.7307516932487488
38,0.6240053772926331,0.6354686617851257,0.8395209908485413,0.7496926784515381
39,0.5754311084747314,0.61590176820755,0.8681024312973022,0.7349745035171509
40,0.6245355606079102,0.6292959451675415,0.8282221555709839,0.7348805069923401
41,0.5374115109443665,0.5830509662628174,0.8237308263778687,0.7254175543785095
42,0.5281346440315247,0.571764349937439,0.8285043239593506,0.7469437122344971
43,0.5379201769828796,0.5853629112243652,0.8264482021331787,0.7253611087799072
44,0.5407097935676575,0.5944218635559082,0.8161594867706299,0.7284722328186035
45,0.5327416658401489,0.580794095993042,0.8261067271232605,0.7303296327590942
46,0.5199419856071472,0.5811001658439636,0.8741241097450256,0.7274568676948547
47,0.49165859818458557,0.5609308481216431,0.8223010897636414,0.7246197462081909
48,0.47668129205703735,0.5558256506919861,0.8055679202079773,0.7136192917823792
49,0.46502232551574707,0.5367559194564819,0.853875994682312,0.7141810655593872
50,0.45171570777893066,0.5246884822845459,0.8078075647354126,0.7175363302230835
51,0.4221821427345276,0.5142956972122192,0.7841853499412537,0.7174642086029053
52,0.4221254289150238,0.5103266835212708,0.8237552642822266,0.7077265977859497
53,0.44722118973731995,0.5321857333183289,0.8537339568138123,0.7152174711227417
54,0.39320364594459534,0.4897814095020294,0.7744579911231995,0.7112510800361633
55,0.39478862285614014,0.4977084994316101,0.8206798434257507,0.7089276313781738
56,0.39743757247924805,0.4953720271587372,0.8047547936439514,0.7056150436401367
57,0.3817901611328125,0.4862844944000244,0.795130729675293,0.7096874117851257
58,0.40003374218940735,0.4983169436454773,0.8411348462104797,0.7108306288719177
59,0.3526138663291931,0.47297167778015137,0.7891305685043335,0.7029485702514648
60,0.3659624457359314,0.4672051668167114,0.7933144569396973,0.7035864591598511
61,0.3397068381309509,0.4559769928455353,0.8180074095726013,0.7049444913864136
62,0.34139880537986755,0.46409347653388977,0.790339469909668,0.7021596431732178
