trial,epoch,loss,mae,val_loss,val_mae,status,filters,kernel_size,dropout,dense_units,lr,score,best_step
0,0,34.034588,4.585964,9.745198,2.939812,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,5.950403,1.943714,1.960738,1.089135,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,2.795046,1.336102,5.121233,2.044913,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,2.075649,1.173181,1.02367,0.836782,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,1.444189,0.945493,1.2181,0.848348,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,1.37236,0.950565,1.209301,0.94111,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,1.277259,0.925489,1.025446,0.832225,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,1.257533,0.902017,1.092725,0.824274,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,1.140925,0.878992,1.012786,0.841635,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,9,1.145877,0.878386,1.145447,0.83008,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,10,1.080007,0.852731,0.995772,0.817841,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,11,1.00747,0.807246,0.983779,0.816462,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,12,1.02104,0.828191,0.984927,0.831427,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,13,0.937871,0.786654,0.967801,0.807463,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,14,0.926118,0.786469,0.976896,0.829597,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,7.844305,2.217586,1.664261,1.094328,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,5.096319,1.782438,1.172939,0.922297,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,4.638384,1.725215,1.463451,1.027242,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,3.813901,1.550641,1.13062,0.907281,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,3.629343,1.495671,1.162207,0.921488,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,3.110167,1.405206,1.056024,0.873169,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,2.926069,1.377942,1.086255,0.887561,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,2.36551,1.223955,1.018981,0.843471,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,2.218412,1.204053,1.044704,0.86072,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,9,2.18356,1.191435,1.025787,0.839855,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,10,2.058384,1.1517,1.054087,0.860216,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,11,1.771204,1.069074,1.041348,0.840367,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,12,1.775488,1.057534,1.055045,0.847343,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,13,1.557127,1.004693,1.054591,0.835196,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,14,1.599696,1.009371,1.067757,0.850326,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,120.251175,7.006741,3.422901,1.625221,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,6.666847,2.074818,18.920271,4.232497,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,7.111983,2.127335,1.509329,0.929945,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,6.577834,2.06296,1.678735,1.105808,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,6.075134,1.99653,1.309636,0.868729,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,4.999084,1.793885,5.924261,2.218638,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,4.237502,1.601729,4.58013,1.894096,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,3.229411,1.437039,3.283488,1.526697,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,3.286699,1.456991,5.86244,2.205304,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,9,3.004086,1.376485,15.661058,3.828159,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,10,2.400998,1.24017,11.231268,3.198188,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,11,2.272213,1.216731,43.317696,6.506058,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,12,2.34529,1.21739,63.282715,7.892991,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,11.54629,2.720562,1.590009,0.94677,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,5.875943,1.91317,3.140539,1.47655,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,4.143116,1.593925,2.669523,1.322651,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,3.957599,1.565022,3.9854,1.72409,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,3.081159,1.402135,3.760352,1.659957,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,3.065441,1.398087,3.421161,1.561956,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,2.613544,1.266253,3.266894,1.516006,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,2.501376,1.270191,2.655115,1.32372,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,2.236825,1.188519,1.869126,1.051997,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,12.277673,2.851542,3.674774,1.637218,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,8.509426,2.316154,2.134453,1.146978,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,8.359367,2.334029,2.698225,1.338197,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,7.106009,2.117241,1.691592,0.99757,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,5.589024,1.863918,1.794386,1.034111,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,5.112191,1.829317,1.548607,0.951819,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,4.591575,1.694853,1.507693,0.938971,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,3.670171,1.511262,1.465404,0.926251,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,3.837553,1.555694,1.179348,0.841393,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,9,3.320689,1.458624,1.363792,0.895714,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,10,2.780584,1.334733,1.220058,0.850936,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,11,2.575803,1.262167,1.115183,0.823037,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,12,2.506581,1.289553,1.086666,0.815062,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,13,2.306658,1.224921,1.019299,0.804479,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,14,2.170638,1.19408,1.018951,0.801323,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,14.529058,3.04139,1.133387,0.846988,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,10.996104,2.635616,1.316147,0.967318,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,10.855485,2.630701,1.144818,0.895137,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,8.777055,2.3242,1.094446,0.860206,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,8.105843,2.307379,1.139394,0.852222,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,6.850893,2.088822,1.15906,0.895058,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,6.181214,1.974643,1.180662,0.863744,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,5.940496,1.95973,1.260587,0.937481,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,4.395487,1.676009,1.274228,0.942313,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,9,4.709942,1.74925,1.523309,1.033529,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,10,4.049702,1.599555,1.729323,1.105899,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,11,3.550901,1.50972,3.170691,1.542185,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,35.128391,4.665777,6.971417,2.423969,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,20.949148,3.616674,7.47177,2.526923,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,15.909641,3.201561,3.523538,1.575764,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,13.595463,2.943536,2.730973,1.328524,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,13.500595,2.878802,4.249888,1.790389,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,11.588242,2.6826,3.179479,1.476099,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,9.319738,2.401124,2.246625,1.1693,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,8.183135,2.287468,2.157974,1.141123,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,7.439446,2.129866,2.37341,1.215558,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,9,6.167997,2.003915,1.983903,1.088556,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,10,5.191206,1.751928,1.806635,1.031678,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,11,4.952724,1.737246,1.775763,1.023832,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,12,4.7417,1.727104,1.601781,0.966941,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,13,3.939048,1.565311,1.373276,0.897462,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,14,3.868528,1.575011,1.33567,0.887218,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,20.870667,3.721896,1.533266,0.955109,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,8.229819,2.326735,3.517392,1.648853,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,4.312307,1.639074,1.531984,1.047075,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,2.967195,1.378607,1.862587,1.156978,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,2.205478,1.195159,3.43615,1.627165,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,1.835254,1.100017,2.013701,1.20757,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,1.534505,0.995249,3.035012,1.515154,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,1.350919,0.914647,2.02981,1.210597,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,1.15934,0.881716,2.65415,1.402725,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,9,1.011706,0.79886,2.386221,1.318873,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,10,0.962124,0.782251,2.341868,1.303126,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,8.117722,2.250747,1.245089,0.85359,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,2.397121,1.226679,1.000535,0.824636,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,1.265068,0.880946,1.457777,0.912153,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,1.018705,0.819526,1.03578,0.859756,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,4,0.974363,0.800555,1.098618,0.814798,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,5,1.001826,0.814125,0.978175,0.8178,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,6,0.956443,0.801786,0.980969,0.811405,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,7,0.907539,0.76558,0.972465,0.822356,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,8,0.851777,0.739691,1.207093,0.930394,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,9,0.812887,0.738184,1.854207,1.157166,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,10,0.797041,0.71293,1.726053,1.111779,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,11,0.776819,0.709212,1.740297,1.12039,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,12,0.785706,0.72138,1.962885,1.189972,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,13,0.742069,0.700668,2.289711,1.304688,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,14,0.716662,0.683855,2.034182,1.218228,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,0,8.967135,2.414438,3.433953,1.620396,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,1,8.005966,2.257404,3.726955,1.696431,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,2,7.101923,2.141828,3.442842,1.622159,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
0,3,6.825236,2.087479,3.631277,1.671163,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
